idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
908,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,HUAWEI
1296,28/11/2021,155,OSASCO,FURTO (ART. 155) - OUTROS,SAMSUNG
194,30/11/2018,,MATAO,FURTO (ART. 155) - TRANSEUNTE,SAMSUNG
867,01/01/2020,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,LENOVO
510,31/01/2019,155,SAO RITA PASSA QUATRO,FURTO QUALIFICADO (ART. 155) - APLICATIVO DE MOBILIDADE URBANA,LG
1463,22/02/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,LG
1124,28/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1477,25/02/2021,157,,,LG
747,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
701,30/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
504,02/01/2019,155,ILHA COMPRIDA,FURTO (ART. 155) - OUTROS,LG


