1488, 03/01/2021, 157, BATATAIS, ROUBO (ART. 157) - CONDOMINIO RESIDENCIAL, XIAOMI
1298, 29/11/2021, 155, SAO CAETANO DO SUL, FURTO (ART. 155) - INTERIOR ESTABELECIMENTO, SAMSUNG
536, 25/12/2018, 155, RIBEIRAO PRETO, FURTO (ART. 155) - VEICULO, APPLE
1337, 12/01/2021, NULO, NULO, NULO, MOTOROLA
1170, 25/11/2021, 155, OSASCO, FURTO (ART. 155) - OUTROS, LG
4, 16/11/2018, 155, SOROCABA, FURTO (ART. 155) - OUTROS, SAMSUNG
127, 30/11/2018, 155, SAO BERNARDO DO CAMPO, NULO, LENOVO
304, 05/01/2018, 157, SUZANO, NULO, ASUS
1414, 03/01/2021, 157, SAO BERNARDO DO CAMPO, ROUBO (ART. 157) - OUTROS, SAMSUNG
178, 23/11/2018, NULO, EMBU DAS ARTES, FURTO (ART. 155) - OUTROS, MOTOROLA
1107, 29/08/2020, 155, RIBEIRAO PRETO, FURTO (ART. 155) - OUTROS, MOTOROLA
862, 01/01/2020, 157, DIADEMA, ROUBO (ART. 157) - TRANSEUNTE, SAMSUNG
599, 31/08/2019, 157, CARAPICUIBA, ROUBO (ART. 157) - INTERIOR ESTABELECIMENTO, SAMSUNG
1520, 28/02/2021, 157, JUNDIAI, ROUBO (ART. 157) - TRANSEUNTE, SAMSUNG
691, 31/08/2019, NULO, NULO, ROUBO (ART. 157) - OUTROS, SAMSUNG
50, 30/11/2018, 155, NULO, FURTO (ART. 155) - OUTROS, SAMSUNG
925, 01/01/2020, 157, UBATUBA, ROUBO (ART. 157) - TRANSEUNTE, APPLE
228, 30/04/2018, NULO, NULO, NULO, NULO
966, 31/08/2020, 155, FRANCO DA ROCHA, FURTO (ART. 155) - OUTROS, SAMSUNG
886, 01/01/2020, 157, ITAQUAQUECETUBA, ROUBO (ART. 157) - VEICULO, LG
1513, 03/01/2021, 157, SANTO ANDRE, ROUBO (ART. 157) - OUTROS, SAMSUNG
689, 09/01/2019, NULO, NULO, ROUBO (ART. 157) - OUTROS, SAMSUNG
1321, 12/01/2021, NULO, NULO, NULO, APPLE
545, 31/01/2019, 171, SANTO ANDRE, ESTELIONATO (ART. 171), NULO
321, 05/01/2018, 157, CARAPICUIBA, ROUBO (ART. 157) - TRANSEUNTE, LG
620, 30/08/2019, 157, SAO JOSE DOS CAMPOS, ROUBO (ART. 157) - OUTROS, MOTOROLA
